,teamIDfg,Season,Team,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
12,2,2008,Orioles,2126,1449,12798.0,4266,1661,100,46,52,402,163,127,164,45,130,33,15,72,0.983,,-2,-3,16,2,-32,-22,2537,2078,0.819,403,,,12.2,-5.1,0.4,3.5,10.9,2.8,66,-4.5,8.9,,,,,,,,,,,,,0,2,,3.3,,
13,22,2008,Dodgers,2205,1458,13026.0,4342,1795,101,50,50,348,139,107,139,40,82,26,9,47,0.984,,0,-8,-2,0,-3,-12,2330,1922,0.825,444,,,2.9,-2.6,-55.7,3.1,-52.4,-6.6,68,4.8,8.0,,,,,,,,,,,,,0,-2,,30.2,,
14,1,2008,Angels,2030,1458,13062.0,4354,1646,91,44,47,406,161,133,160,50,109,31,10,50,0.985,,-4,7,-10,16,-15,-10,2354,1947,0.827,417,,,-0.9,3.0,3.2,3.9,9.2,1.3,65,2.7,5.2,,,,,,,,,,,,,0,0,,1.4,,
15,24,2008,Nationals,2160,1449,12906.0,4302,1578,123,66,57,339,144,106,144,36,118,38,12,59,0.98,,-1,-1,-13,-19,31,-7,2329,1923,0.826,456,,,-9.1,-0.5,24.2,-13.1,1.5,-1.3,61,-1.6,0.5,,,,,,,,,,,,,0,2,,2.9,,
16,20,2008,Marlins,2221,1449,12918.0,4306,1501,117,57,59,286,123,92,122,25,110,32,10,59,0.98,,-4,-3,1,-1,12,-10,2272,1882,0.828,392,,,-3.2,-0.3,15.9,-8.2,4.2,0.0,58,-2.0,0.2,,,,,,,,,,,,,0,1,,-19.3,,
17,7,2008,Royals,2123,1458,13011.0,4337,1548,96,49,46,378,162,121,160,45,78,26,8,68,0.984,,-4,8,-13,-3,-47,-63,2451,2033,0.829,332,,,-10.4,-0.1,1.1,-0.9,-10.4,-3.2,69,-0.6,-14.4,,,,,,,,,,,,,0,-1,,0.1,,
18,8,2008,Twins,2078,1467,13131.0,4377,1682,108,47,61,405,169,138,168,52,69,34,4,45,0.982,,-3,5,4,0,-35,-25,2541,2083,0.82,385,,,-4.7,1.7,-4.8,-6.1,-13.9,-2.4,41,-1.5,-16.9,,,,,,,,,,,,,0,1,,4.7,,
19,11,2008,Mariners,2075,1458,12918.0,4306,1654,99,55,42,393,160,119,160,36,92,37,14,60,0.984,,-5,3,11,10,-6,16,2400,1976,0.823,447,,,8.3,4.0,-27.6,2.5,-12.9,-0.1,61,-2.5,-17.9,,,,,,,,,,,,,0,2,,-16.2,,
20,16,2008,Braves,2161,1458,12966.0,4322,1791,107,50,56,364,150,112,150,44,113,35,14,42,0.983,,1,-7,2,-5,26,22,2321,1927,0.83,462,,,0.1,-6.7,-14.0,1.1,-19.4,-3.1,58,1.8,-18.4,,,,,,,,,,,,,0,6,,35.9,,
21,27,2008,Pirates,2093,1458,13095.0,4365,1830,107,60,47,458,180,151,180,31,104,46,13,64,0.983,,4,1,-7,6,-15,-13,2481,2049,0.826,442,,,-5.1,-2.5,-18.1,1.1,-24.6,-3.9,61,-3.1,-20.6,,,,,,,,,,,,,0,0,,-59.9,,
22,4,2008,White Sox,2134,1467,13119.0,4373,1731,108,57,47,387,156,121,156,52,139,30,6,54,0.983,,-5,4,-6,3,-20,-34,2352,1932,0.821,382,,,-1.6,2.3,-10.9,-6.3,-16.5,-2.4,50,-1.8,-21.5,,,,,,,,,,,,,0,-4,,-4.2,,
23,29,2008,Padres,2097,1458,13125.0,4375,1626,85,36,48,349,151,111,152,25,168,38,11,43,0.986,,-1,-1,-10,-4,11,-15,2274,1905,0.838,434,,,-13.9,-1.2,-22.8,13.1,-24.8,-6.0,50,-0.2,-25.8,,,,,,,,,,,,,0,-1,,-5.4,,
24,18,2008,Reds,2204,1458,12981.0,4327,1568,114,50,63,364,156,114,156,30,95,40,17,52,0.981,,-2,-3,4,-1,-21,-29,2223,1827,0.822,410,,,1.0,0.6,-26.6,-7.3,-32.3,-4.1,81,5.1,-34.3,,,,,,,,,,,,,0,0,,38.8,,
25,9,2008,Yankees,2143,1458,12975.0,4325,1586,83,41,41,310,142,93,141,50,113,56,11,55,0.986,,2,-1,9,8,-55,-41,2409,1968,0.817,356,,,4.9,-3.3,-47.6,3.5,-42.5,-5.1,61,-0.2,-40.5,,,,,,,,,,,,,0,-3,,27.9,,
26,13,2008,Rangers,2108,1458,12978.0,4326,1676,132,66,64,465,191,155,191,31,114,37,13,62,0.978,,-4,5,3,-9,-47,-55,2485,2021,0.813,453,,,2.1,-1.6,-43.1,-3.6,-46.2,-5.7,51,-5.5,-50.2,,,,,,,,,,,,,0,5,,-23.9,,
27,6,2008,Tigers,2122,1458,13005.0,4335,1634,113,71,39,426,173,125,173,27,69,36,16,65,0.981,,2,2,-8,-11,-31,-32,2399,1965,0.819,421,,,-8.0,-3.6,-42.4,-6.3,-60.3,-9.3,57,-5.6,-58.3,,,,,,,,,,,,,0,6,,-15.1,,
28,19,2008,Rockies,2122,1458,13014.0,4338,1816,96,59,37,401,176,126,176,53,86,30,10,61,0.985,,1,3,-12,-3,-17,-21,2433,2040,0.838,364,,,-8.8,2.3,-56.3,3.4,-59.4,-8.7,61,-1.6,-58.4,,,,,,,,,,,,,0,0,,-17.7,,
29,15,2008,Diamondbacks,2073,1458,12912.0,4304,1564,113,64,48,328,138,101,138,29,87,31,7,59,0.981,,-3,0,-11,-13,4,-32,2239,1831,0.818,393,,,-8.0,-1.8,-36.2,-10.5,-56.5,-9.3,50,-3.5,-59.5,,,,,,,,,,,,,0,0,,6.3,,
